q,Iq,Autofit,phiq,phiq_damp
9.019512508456296,145.5327560240964,75.81297846535783,1.603881318216958,0.864355134412966
9.0395558695862,144.19220582671207,75.33529813415015,1.5979467871899138,0.8587914853032663
9.059599230716104,142.9849884526559,74.86161883401476,1.594783540705252,0.8547319530104422
9.079642591846005,141.87466666666666,74.39189512672769,1.5936086533438052,0.8517457999158073
9.099685952975909,140.6797938903202,73.92608224908449,1.590155909473393,0.8475503422705539
9.119729314105811,139.53353428786738,73.46413610143561,1.5875689330259226,0.8438265984823416
9.139772675235715,138.3674157303371,73.00601323641676,1.5842147052693558,0.8397051770815114
9.159816036365616,137.49050151975683,72.55167084787054,1.5876330038629256,0.8391747903626463
9.17985939749552,136.3360686311078,72.10106675995642,1.5840284044825998,0.83493399365929
9.199902758625422,135.31515373352855,71.65415941644679,1.5834445408182547,0.8322930188786026
9.219946119755326,134.4746835443038,71.2109078702049,1.5871408190710918,0.831898652467902
9.239989480885228,133.39475600874,70.77127177284311,1.5846058140267882,0.8282379341386237
9.26003284201513,132.401833460657,70.33521136455724,1.584012461357327,0.8255981821254503
9.280076203145034,131.59798994974875,69.90268746413564,1.5880416912942064,0.8253642311065844
9.300119564274937,130.6112326768782,69.47366145913969,1.58715815363568,0.8225738646115737
9.32016292540484,129.9360661902971,69.04809529625209,1.5941849217022404,0.8238757230363576
9.340206286534745,128.93974591651542,68.62595147179194,1.5926194734223964,0.8207307120499323
9.360249647664643,127.9562016930438,68.20719302239254,1.5911359873134447,0.8176340424833666
9.380293008794547,127.32619557458958,67.79178351584034,1.59889147045032,0.8192774548728243
9.400336369924451,126.50535648319172,67.37968704207158,1.601380203825138,0.8182088518624914
9.420379731054354,125.67807964272424,66.97086820432534,1.6035056589532664,0.8169495978776846
9.440423092184258,124.87716201906106,66.56529211044874,1.6061640924750231,0.8159566298836429
9.46046645331416,124.05739193606976,66.16292436435353,1.6081153332656748,0.8145994280697172
9.480509814444064,123.53300561797752,65.763731057621,1.6181454538576143,0.8173189315860097
9.500553175573964,122.69787856620336,65.36767876125259,1.619339796736709,0.8155609667286884
9.520596536703868,121.93497109826588,64.97473451756392,1.622383902087008,0.8147302870333328
9.54063989783377,121.27336860670194,64.58486583222066,1.628161963716591,0.8152615792222998
9.560683258963676,120.5200583515682,64.198040666413,1.6311545196411323,0.8143872420930455
9.580726620093577,119.85638486027592,63.81422742916688,1.6365888061650131,0.8147216724034682
