r,Gr
5.86,-0.0339752071028194
5.87,-0.0323154622526871
5.88,-0.030372787022268
5.89,-0.0281892433625744
5.9,-0.025810478577909
5.91,-0.0232822043159314
5.92,-0.0206468307143868
5.93,-0.0179405537475053
5.94,-0.0151911498583362
5.95,-0.012416664278047
5.96,-0.0096250945069281
5.97,-0.0068150764109433
5.98,-0.0039774862748808
5.99,-0.0010977869483938
6.0,0.0018411219755415
6.01,0.0048558347645783
6.02,0.0079594529255349
6.03,0.0111589715018432
6.04,0.0144532889323473
6.05,0.0178320279991505
6.06,0.0212752749704039
6.07,0.0247542542513775
6.08,0.0282328654846583
6.09,0.0316699278571651
6.1,0.0350219102765063
6.11,0.0382458823278353
6.12,0.0413024035274845
6.13,0.0441580787465583
6.14,0.0467875444445311
6.15,0.0491747096103815
6.16,0.051313150964121
6.17,0.0532056463809223
6.18,0.0548629152368449
6.19,0.0563017110686709
6.2,0.057542473106827
6.21,0.0586067830125732
6.22,0.0595148878483286
6.23,0.0602835387822355
6.24,0.0609243587451694
6.25,0.0614428951384446
6.26,0.0618384416886829
6.27,0.0621046340351703
6.28,0.0622307446612148
6.29,0.062203532246838
6.3,0.0620094453991217
6.31,0.0616369463602141
6.32,0.0610787099112923
6.33,0.0603334670502732
6.34,0.0594073003916269
6.35,0.0583142545923784
6.36,0.0570761945541016
6.37,0.0557219195390436
6.38,0.0542856150034949
6.39,0.0528047884921057
6.4,0.0513178849641624
6.41,0.049861805701504
6.42,0.0484695608587044
6.43,0.0471682685072398
6.44,0.0459776748077162
6.45,0.0449093149595512
6.46,0.0439663687346619
6.47,0.0431441946564622
6.48,0.0424314605102829
6.49,0.0418117316978526
6.5,0.0412653386604849
6.51,0.0407713241472123
6.52,0.0403092723120913
6.53,0.0398608439973324
6.54,0.0394108833532791
6.55,0.0389480154712135
6.56,0.0384647168229964
6.57,0.0379569030811883
6.58,0.0374231353518375
6.59,0.0368635896969578
6.6,0.036278961131462
6.61,0.0356694790273248
6.62,0.0350341952625135
6.63,0.0343706710704988
6.64,0.0336751371326457
6.65,0.0329431395853436
6.66,0.0321706191090635
6.67,0.0313553084865438
6.68,0.0304982830808163
6.69,0.0296054647057437
6.7,0.028688866782845
6.71,0.0277673797626189
6.72,0.0268669303281994
6.73,0.0260199031893094
6.74,0.0252637853184917
6.75,0.0246390724709278
6.76,0.0241865587839547
6.77,0.0239442038223043
6.78,0.0239438297388447
6.79,0.0242079376588564
6.8,0.0247469423555543
6.81,0.0255571056494602
6.82,0.026619402393685
6.83,0.0278994818381715
6.84,0.0293487975391213
6.85,0.0309068787163997
6.86,0.0325046142284515
6.87,0.0340683266800504
6.88,0.0355243376104285
6.89,0.0368036728168428
6.9,0.0378465350581117
6.91,0.0386061823274759
6.92,0.0390518932190156
6.93,0.0391707732250375
6.94,0.0389682509184383
6.95,0.0384672225052833
6.96,0.0377059173524443
6.97,0.0367346654489335
6.98,0.0356118404486543
6.99,0.0343993204556623
7.0,0.0331578467445907
7.01,0.0319426646681231
7.02,0.0307998007494619
7.03,0.0297632682540307
7.04,0.0288534061758163
